yor_Latn	sentiment
Nollywood ní ìpele tó ga jù lọ!!!! . . . fíìmù yìí sọ ìtàn nípa àṣà, ìṣọ̀kan àti ìdílé.	positive
Ó dára gan-an, ó sì mọ́gbọ́n dání, ó fi hàn pé ewu tó wà nínú àṣà ìbílẹ̀ Nàìjíríà àti bí èyí ṣe lè nípa lórí ìfẹ́ àwọn ọ̀dọ́.	positive
fíìmù yìí dára gan-an nínú irú eré yìí.	positive
Mo gbádùn fíìmù yìí gan-an... mo yàwòrán pé mo ka àwọn àbá tí kò dára nípa fíìmù yìí. ṣé a mọ ohun tó dára gan-an ni? fíìmù yìí dára gan-an, ó dùn gan-an. àwọn èèyàn tó ní ìrísí tó dára, ìtàn tó ṣeé gbára lé àti èyí tó ṣeé sún mọ́. àti pé ó dára gan-an.	positive
Mo rí fíìmù náà ní Houston, Texas, fíìmù yìí yẹ kí ó gba àmì ẹ̀yẹ Oscar, ìtàn náà dára gan-an, àwọn òṣèré náà sì jọjú gan-an.	positive
Ẹnikẹ́ni tó bá nífẹ̀ẹ́ iṣẹ́ ọnà, tó ti rí apá kìíní, yóò mọ̀ pé a ti kọ ìtàn náà ní ìgbà yẹn, èyí sì tún wá di ohun tó ń tẹ̀ lé e.	positive
Àbájáde tó dára gan-an ni.	positive
Àwọn èèyàn kan lè má fẹ́ fiimu yìí torí pé wọ́n ti mọ àwọn fíìmù tó ń sọ nípa ìfẹ́ tàbí ìtàn ìyọlẹ́nu tàbí nítorí pé wọn ò mọ bí wọ́n ṣe ń gbé nínú ọkọ̀.	positive
Ó ní àwọn ohun tó ń mú kí ìwà ọ̀daràn burú jáì, ó sì ní àwọn ìtàn àtẹnudẹ́nu, fíìmù tó ní àwọn èèyàn tó pọ̀ gan-an ni, kò sì sí ìran kan tó ti bọ́ lọ́wọ́.	positive
O ṣeun gan fun fiimu iyanu yii	positive
Mo gbádùn wíwo àwọn apá tó dára gan-an ní ìlú Lagos, lórílẹ̀-èdè náà àti lórí erékùṣù náà, tí wọ́n lò, kò dà bí àwọn fíìmù mìíràn tí wọ́n ń gbé ní ibi kan náà. Lagos jẹ́ ibi tó dára láti ṣe fíìmù kan, pàápàá tí a bá lo onírúurú ìpínlẹ̀ náà, bí a ti rí i níbí. Àwọn ìṣẹ̀lẹ̀ jàǹbá sábà máa ń ṣòro fún Nollywood láti ṣe àwòrán, àmọ́ ó dùn mí láti rí ìyanu tó ṣeé gbára lé gan-an níbí.	positive
Mo fẹ́ràn gbogbo ìṣẹ́jú tí mo fi ń ṣe fíìmù náà, mo fẹ́ kí ó máà parí.	positive
Akinnuoye-Agbaje ṣe ìfilọ̀ ìkọ́kọ́ ìkọ́kọ́kọ́ ni ó jẹ́ ìtàn tí ó ń ṣeni láàánú nípa bí àwọn olùdarí ṣe ń dàgbà tí wọ́n sì ń ṣe bíi pé ó ń ṣe ohun tó ń mú kí àwọn ọmọ Nàìjíríà tó ti dàgbà ní UK máa rántí ìtàn ìgbésí ayé wọn - tó ní àwọn ìsọ̀lẹ̀ pàtàkì àti àwọn ìṣẹ́lẹ̀ tó ń fa ìrora ọkàn - bó tilẹ̀ jẹ́ pé ìgbà míì wà tí ó máa ń ṣòro fún wọn láti rí ohun tó ń mú kí àwọn èèyàn máa ṣe àdàkàdekè àti ìmọrírì àwọn àkókò tí wọ́n ń bá àwọn èèyàn pàdé. bí àwọn èèyàn ṣe ń ṣe ìfilọ́ àwọn èèyàn tó jẹ́ ẹni tí kò ṣeé mọ́ àti àwọn èèyàn tó ń ṣe ìmúṣẹ̀lẹ̀ wọn nìkan ló ń mú kí wọ́n rí ohun tó ń ṣe wọ́n lára. bí àwọn èèyàn ṣe ń ṣe ìmúṣẹ̀lẹ̀ náà ní ọ̀nà tó ń mú kí wọ́n máa ṣe àdàkàdekè, bó tilẹ̀ jẹ́ pé ó máa ń ṣe àwọn èèyàn bíi mélòó kan tó ń ṣe àdàkàdekè àti ìjìnà tó ń ṣe pàtàkì jù lọ, tí wọ́n sì ń ṣe ìjìnà jẹ́ kí wọ́n máa ń ṣe àdàkọ́n ní ìjìnnà tó tó tó tó tó tóbi tóbi tóbi tó sì máa ń mú kí wọ́pọ̀.	positive
fíìmù àgbàyanu ni ó yẹ kí o rí	positive
eré tó dára. mo fẹ́ràn eré yìí gan-an. gbogbo àwọn èèyàn tó wà nínú rẹ̀ dára gan-an, mo sì gbádùn wíwo wọn. mo nírètí pé àwọn ìgbà míì á ṣì wà. mo ń fojú sọ́nà fún ìgbà tó ń bọ̀!!!	positive
Ṣiṣẹ lati iwe afọwọkọ nipasẹ onkọwe Darci Picoult, Dosunmu ṣe apẹrẹ itan ti o jẹ otitọ, melodramatic ati aṣa pato (a lo akoko pupọ ti n wo awọn aṣọ ti o ni awọn awọ bi a ṣe n ṣe ayẹyẹ oju Gurira ti o ni asọye lopin), ṣugbọn kii ṣe aṣiṣe archetypal.	positive
Àwòrán tó dára gan-an!	positive
Kò sí ọ̀rọ̀ tó lè ṣàlàyé agbára tí fíìmù yìí ní àti bí ó ṣe ránni létí bí ayọ̀ tó pọ̀ tó pé a ò tíì gbé ogun abẹ́lé kankan kọjá. Ìtàn àrà ọ̀tọ̀ tó sọ ìtàn tó ṣeni láàánú àti ọ̀ràn àgbáyé ní Nàìjíríà àti ti ẹ̀dá èèyàn tó wà nínú rẹ̀.	positive
Ó dára gan-an	positive
Ìtumọ̀ tó bọ́gbọ́n mu nípa àwọn Igbo. . . . ọkàn kìnnìún ṣàpẹẹrẹ ohun tí kéèyàn jẹ́ Igbo ní ti gidi - ìyẹn ètò ìgbésí ayé tó ń ṣiṣẹ́ kára tó sì ń gbé ní àgbègbè kan.	positive
Mo rí i pé àwọn nǹkan kan kò tó nǹkan fún mi, àmọ́ ní gbogbo ìgbà, mo gbádùn rẹ̀ gan-an.	positive
Bó tilẹ̀ jẹ́ pé àwọn tó ń ṣe fíìmù yìí ń fi ìsọfúnni hàn nípa ohun tó ń ṣẹlẹ̀ nínú sinimá, àwọn tó ń ṣe fíìmù náà kì í fi ìsọfúnni hàn nípa ohun tó ti ṣẹlẹ̀ kọjá.	positive
Orinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrinrin	positive
Ó dára gan-an fíìmù yìí!!. Ó dájú pé èyí ni fíìmù tó dára jù lọ tí wọ́n ti ṣe láti ní Nàìjíríà, láìka sí pé ó máa ń ṣe é lẹ́nu!	positive
Àwọn Obìnrin Áfíríkà Tó Dára Jù	positive
Mi ò mọ̀ lórí ohun tí àwọn èèyàn fi ń ṣe fíìmù yìí, tí wọ́n fi ń ṣe é níwọ̀nba, àmọ́ nígbàgbọ́ nínú mi pé, lẹ́yìn àkókò gígùn, mo ti wo fíìmù tó dára, tó dùn ún wò, tó mọ́ tónítóní, tó sì sàn ju ti Bollywood lọ.	positive
Àwòrán tó wà nínú fíìmù yìí dára gan-an, olùdarí náà sì ṣe iṣẹ́ tó dára gan-an.	positive
Ó dá mi lójú pé ọ̀rọ̀ náà máa ń dùn mí gan-an, ó sì máa ń dùn mí gan-an pé mo máa ń rí àwọn ìsọfúnni tó ṣe pàtàkì nínú ìtàn náà.	positive
Àtúnṣe pàtàkì kan láti mú ìsọfúnni wa padà bọ̀ sípò. . . . fíìmù yìí ti fi apá kan tó jinlẹ̀ hàn nínú ìjà àwọn èèyàn tá a sábà máa ń ṣàìka sí. Ó rọrùn láti rí ẹni tó máa dájọ́, àmọ́ nígbà tí wọ́n bá sọ irú àwọn ìtàn bẹ́ẹ̀, o bẹ̀rẹ̀ sí wo gbogbo èèyàn lọ́nà tó yàtọ̀. Ìparí rẹ̀, bó tilẹ̀ jẹ́ pé kò fara rọ, máa ń mú kó o wà nínú ipò tí kò ṣeé ronú lé, ó sì máa ń mú kó o máa ronú lórí ohun tó o ti rí láìpẹ́.	positive
Àwòrán!!! 🔥🔥🔥. . Àní sẹ́, fíìmù ará Áfíríkà ọdún yìí, mo gbádùn gbogbo ìṣẹ́jú tí mo fi ń ṣe àwọn àpéjọ náà ní wákàtí méjì ààbọ̀.	positive
Ìtàn kan tí kì í sábà rí lára àwọn ohun tó ń ṣe ìdílé láìsí pé èèyàn mọ ohun tó ń ṣe ìdílé.	positive
Níkẹyìn, fíìmù ńlá kan ní Nàìjíríà. fún ọdún mélòó kan ni mo ti ń retí pé kí Nàìjíríà ṣe fíìmù ńlá kan, èyí sì ni ibi tí àwọn arákùnrin Esiri ti wá.	positive
Ká sòótọ́, fíìmù yìí dára gan-an, ó sì tún dára gan-an, ó sì tún ń mú kí eré náà máa lọ sókè.	positive
O le jẹ ki o wa ni o ni 5 iṣẹju akoko ninu yi fiimu pẹlu ko si nkankan lati rẹrin, laughing tabi rẹrin nipa. Mo ro pe ko si Nigerian fiimu ti o ti bori yi ni awọn oniwe-ara (Fictional Comedy). awọn movie ipa ti wa ni bi daradara commendable.	positive
Ó dára, fíìmù oníwàkiwà tó ń gbé ní Nollywood.	positive
Ó dára gan-an láti fi sinimá eré ìje. . . ohun kan ṣoṣo tí mi ò fẹ́ràn nípa fíìmù yìí ni bí kò ṣe sí ìjùmọ̀sọ̀rọ̀ láàárín àwọn ará Nàìjíríà tàbí àwọn ará Íńdíà. . . . fíìmù onífẹ̀ẹ́ tó dára gan-an.	positive
Ìtàn náà bẹ̀rẹ̀ díẹ̀ díẹ̀, àmọ́ ẹ pa á mọ́.	positive
Ọba Awọn ọmọkunrin ... jara yii jẹ iyanu patapata, lati oju opo si awọn oṣere, awọn aṣọ ati awọn ẹdun ti protagonist ṣe apejuwe. Mo ni idaniloju pe mo jẹ ọmọ Naijiria ni akoko yii.	positive
O yẹ ki gbogbo eniyan rii... Namaste wahala jẹ iṣẹ-ṣiṣe ati ni ifowosi a ṣe idapo laarin awọn aṣa. Igbẹṣepọ Bollywood yii ni ohun gbogbo ninu fiimu ifẹ ti o dara yẹ ki o ni, awọn oṣere India ti o dara julọ ati ṣe awọn ipa wọn ni pipe.	positive
ó máa ń dùn mí gan - an, ó máa ń dùn mí gan - an, ó sì máa ń dùn mí gan - an. mo lè máa wo eré náà látìgbàdégbà, ó wù mí kí ó máa jáde ní ọ̀pọ̀ ìgbà lọ́sẹ̀, àmọ́ ṣá o, ó tún máa ń dùn mí gan - an. ọ̀pọ̀ eré ìnàjú ló máa ń jáde bí ìwé tí wọ́n kọ, àmọ́ kì í ṣe èyí tó wà nínú rẹ̀.	positive
Ní orí ìlà Nollywood, mo fún fíìmù yìí ní ìlà 9 nítorí ìtàn tó ṣàrà ọ̀tọ̀ àti ìṣẹ̀lẹ̀ tó dára tó mú kó yàtọ̀ sí àwọn fíìmù Nàìjíríà yòókù.	positive
Àkọlé tó dára, fíìmù tó dára, ìtàn tó dáa gan-an ni.	positive
Ọ̀rọ̀ ò yé mi. . . . fíìmù yìí mú kí n ní àwọn ìṣòro tó ń mú kí n máa ronú jinlẹ̀, èyí sì mú kí n rí i pé Ọlọ́run ló yẹ kó bù kún àwọn tó ń kọ ìwé náà, àwọn tó ń ṣe é àtàwọn tó ń ṣe é.	positive
Mo gbádùn àjọṣe tí a dá láàárín Ọ̀gbẹ́ni Tayo (Bimbo Manuel) àti Ejiro (RMD),	positive
Ohun kan tó wù mí nípa fíìmù yìí ni bí wọ́n ṣe sọ ìtàn náà àti bí àwọn òǹkọ̀wé ṣe túmọ̀ rẹ̀.	positive
Best Christian Movie!!! . . . Mo fẹ́ràn fíìmù yìí! ó ṣe dáadáa gan-an - eré náà dára gan-an, ìtàn náà sì ń tuni lára. ẹ̀mí ìmoore fún gbogbo àwọn tó ń ṣe eré náà àti àwọn tó ń ṣe eré náà! ó dájú pé ó yẹ kí ẹ máa wo ó! . . . ẹ̀yin yóò nílò aṣọ.	positive
Mo nífẹ̀ẹ́ sinimá náà, àwọn oníṣeré, olùdarí àtàwọn míì, gbogbo èèyàn ló ṣe é dáadáa gan-an nítorí pé wọ́n ní ọ̀nà tó dára láti ṣe eré. . . . ẹnikẹ́ni tó bá rí i pé kò dáa kò mọ sinimá tó dára, ó sì ṣeé ṣe kó máà lè bá àwọn àṣà ìbílẹ̀ wa lò.	positive
Ó dára gan-an, fíìmù náà dára gan-an, àwọn èèyàn tó rẹwà ló sì ń ṣe é.	positive
Ó dára láti ṣe eré, ó dára láti ṣe àbáyọ, kò dára láti sọ ìtàn.	positive
Ó máa ń wu èmi náà gan-an láti mọ bí ìgbésí ayé Ishi ṣe rí, torí pé èyí máa ń jẹ́ kí ọ̀pọ̀ àwọn tó ń fẹ́ra wọn lọ́kọ máa rí ojú rere.	positive
Gabriel Afolayan wà ní kíláàsì ara rẹ̀ gẹ́gẹ́ bí òṣèré; ó máa ń lóye iṣẹ́ náà.	positive
Kò burú bíi ti mo sọ.	positive
fíìmù ńlá àti ìgbésẹ̀ ńlá... ìtàn ńlá, ìṣẹ̀dá ńlá àti eré ìdárayá ńlá, gbogbo èyí ní ìsopọ̀ nínú fíìmù kan. fíìmù àgbàyanu àti àwọn tó ń ṣe eré náà.	positive
Àkọlé tó dára, tó sì ní ìmísí tó dára, tó ń sapá láti mú kí ohun tí wọ́n ń béèrè nínú eré orin tó ń gbéni ró bá ohun tó ń gbéni ró nínú ìtàn mu.	positive
Ó dára gan-an... nígbà tí mo kọ́kọ́ rí fíìmù yìí, inú mi dùn gan-an. Mi ò fẹ́ kí èyí máa dà bí àjèjì, àmọ́ mo gbìyànjú láti kẹ́kọ̀ọ́ nípa ayé yìí.	positive
ó máa ń ṣe mí bíi pé mi ò mọ ohun tó ń ṣẹlẹ̀, àmọ́ mo máa ń sọ pé ìtàn tó ń sọni di òmùgọ̀ ni. o lè sọ pé owó tó ń wọlé fún un kò tó nǹkan, àmọ́ ìtumọ̀ àti eré orí ìtàgé rẹ̀ dára gan-an! kò sí ohun tó ń ṣe àwọn eré ìjà náà. ó yẹ kí o wo ohun tó ń ṣẹlẹ̀.	positive
Ìtàn ìdílé àti ogun tó ń kóni nírìíra. . . . mo rọ̀ ẹ́ pé kó o máa wo fíìmù yìí láìfọ̀rọ̀ sábẹ́ ahọ́n.	positive
Wàyí o... fíìmù yìí mú kí n yí àjọṣe mi pa dà sí rere. Ó dára gan-an. Fíìmù náà bẹ̀rẹ̀ díẹ̀díẹ̀, àmọ́ ó dájú pé ó mú kí n nífẹ̀ẹ́ sí i. Àwọn àbájáde tó ń mú kí ìparí náà túbọ̀ lágbára sí i nítorí pé gbogbo nǹkan jọra.	positive
Àwọn èèyàn ò ní mọ̀ o, bí wọn ò bá tiẹ̀ gbìyànjú... fíìmù yìí ń bójú tó ọ̀pọ̀ ìṣòro, títí kan èyí tó tóbi jù lọ nínú wọn.	positive
Nípasẹ̀ ètò ìfihàn, Eyimofe (tí a tú sí This is My Desire) ń pèsè àwòrán tí kò lè kọjá àsìkò, tí ó jẹ́ ti gbogbo ènìyàn nípa agbára gbígbóná táwọn èèyàn ní, nígbà tó sì ń dá Arie àti Chuko sílẹ̀ gẹ́gẹ́ bí àfikún tuntun tó dára sí àwọn tó ń ṣe sinimá.	positive
ó ṣeé ṣe kó máà jẹ́ pé ọ̀kan lára àwọn iṣẹ́ tó dára jù lọ tí tade ogidan ṣe ni ère náà, àmọ́ ó wà ní ipò gíga ní òkè yẹn	positive
Ó dára gan-an, ó dára gan-an, ó yẹ kí a wo rèé, màá sì rọ̀ ẹ́ pé kó o wò ó.	positive
Ó gbádùn kí n wo èyí. . . . Ọ̀rọ̀ tó fani mọ́ra gan-an ni ìwé The Delivery Boy, ó sì dára gan-an, ó sì sọ ọ́ lọ́nà tó fani mọ́ra.	positive
O yẹ ki o ni awọn akoko 5 ti ifihan yii!!!!. . . . ifihan yii jẹ igbadun ati igbadun. Ti o ba jẹ pe ipo gidi ni iṣoro pẹlu rẹ. Yi orukọ naa pada tabi ṣafikun, abeg. Ẹya nla !!! Iwe nla !!! Awọn aworan nla. :)	positive
Ó dára gan-an pé kí n máa ṣe eré náà gẹ́gẹ́ bí ọmọ ilé ẹ̀kọ́ ìṣègùn, mo sì máa ń fi ìtara bá àwọn tó ń ṣe eré náà lò.	positive
Àwọn fíìmù tí wọ́n ṣe yìí ti ń mú kí fíìmù Áfísíkà rí ojúlówó ìyípadà tó yẹ.	positive
Ìṣe orin tó ń gbádùn mọ́ni tó ní àwọn ohun tó ń gbéni ró nínú nínú orin jazz àti pop àti ohun tó ń múni láyọ̀	positive
Ìpadàbẹ̀rẹ̀ ọba yìí jẹ́ ògo.	positive
Iṣẹ́ ńlá ni o ṣe!!	positive
Ìtàn tó dáńgájíá, tó sì jẹ́ ti ara ẹni gan-an ni wọ́n sọ nípa fífi ìṣeré tó dára hàn	positive
O jẹ ọkan ninu awọn fiimu ti o dara julọ ti Naijiria ti ọdun 2017. Isoken jẹ fiimu nla ti o ṣe afihan aṣa agbegbe ti orilẹ-ede naa. Iṣeto, gbigbe, awọn awọ ati aṣọ sọ pupọ ti aṣa naa daradara. Fiimu naa ni imukuro ti o dara julọ ti ẹrin ati iṣe nla ..	positive
Ó dára gan-an láti wo fíìmù yìí, ó sì dùn mọ́ mi gan-an pé wọ́n ń gbé èdè Igbo lárugẹ!	positive
"Àwọn ohun tó ń mú kí wọ́n máa gbé orí fóònù, àwọn àwòrán tó ń múni sún mọ́lé, àwọn àpapọ̀ ohun tó ń múni lọ́kàn sókè àti àkọsílẹ̀ tó ń fún ìtàn kan tó mọni ní ẹ̀mí tó ní í ṣe pẹ̀lú Áfíríkà níwà tó dáa, mú kí ""Òlòtūré"" jẹ́ ohun tó ń múni láyà jẹ, kì í ṣe pé wàá máa fara da rẹ̀ nìkan, àmọ́ wàá tún máa ṣe inú rẹ dùn, wàá sì máa gbé e mọ́ra."	positive
O yẹ ki o wo eyi!!!!! . . . O yẹ ki o wo!!! Mo nifẹ si awọn eniyan Igbimọ Ni gbolohun ọrọ ohun gbogbo	positive
fíìmù tó dára gan - an	positive
Mo ní ọmọ kan...	positive
Ọ̀rọ̀ tó dára gan - an ni Kemi Adetiba ṣe, ìtàn náà wà ní àkọlé tó dára, àwòrán tó dára, gbogbo àwọn akẹ́kọ̀ọ́ ló ṣe iṣẹ́ tó dára gan - an.	positive
Fìlíìmù tó lágbára kan tí a ti gbàgbé pátápátá nínú ìtàn; kì í ṣe fún àwọn tó ní ìdààmú ọkàn.	positive
Ó dára gan - an láti fi sinimá - ṣe eré ìnàjú àti kíkọ́ni	positive
eré tó ń gbéni ró tó sì ń gbéni ró, irú ẹni tí mo jẹ́ gan - an	positive
Ojú ẹ̀ rí ìtàn yìí, ojú ẹ̀ rí ìtàn yìí, ojú ẹ̀ rí ìtàn yìí, ojú ẹ̀ rí ìtàn ọ̀pọ̀ ìtàn nípa àwọn ọ̀daràn ní gbogbo àgbègbè Áfíríkà àti ní gbogbo ìgbà. inú mi dùn gan-an pé Brotha wa sọ ìtàn rẹ̀ fún mi, ó sì ní láti kọ, ṣe àbáyọ, kó o sì ṣe àbáyọ. Damson ojú ẹ̀ rí ìtàn yìí, eré tó ń ṣe kì í ṣe ohun tó yẹ kéèyàn ṣe.	positive
Ó wúni lórí gan-an, ó sì máa ń dùn mí gan-an bí wọ́n ṣe ń ṣàpèjúwe àṣà ìbílẹ̀ méjèèjì.	positive
Ó dára gan-an láti fi hàn pé ó ṣeé ṣe fún wa láti rí i pé ọ̀rọ̀ náà ń lọ lọ́nà tó dára gan-an. . . . fíìmù yìí jẹ́ ìsọfúnni tó fani mọ́ra nípa bí ọ̀kan lára àwọn olùkọ́ ṣe hùwà ipá sí ọmọ ilé ẹ̀kọ́ girama kan.	positive
ó mà dùn o, mo rí àwọn èèyàn tó mú kí n tún wo àwọn fíìmù nollywood. ó mà dùn o, ó sì mà dùn o.	positive
Àwọn eré orí ìtàgé tó dára gan-an láti Nàìjíríà... mo fẹ́ràn eré orí ìtàgé yìí. àwọn àyíká tó dára gan-an. àwọn èèyàn ń ṣe eré orí ìtàgé tó dára gan-an. gbogbo àwọn àwàdà náà sì ṣe kedere. ó tún jẹ́ ìkọ́nilẹ́kọ̀ọ́.	positive
O ti wa ni o tọ akoonu. . awọn ede ni Street, awọn oṣere ti o ti irawọ, sinima ati editing ni o wa ni aaye. o tun ni a nla ipese. o dara ju gbogbo o fi Ajegunle lori maapu.	positive
Àrùn ààrùn tuntun tó lè tún ṣẹlẹ̀! . . . . fíìmù tó fani mọ́ra gan-an ni, ó sì sọ ohun tó ṣẹlẹ̀ lóòótọ́. Ó sàn ju fíìmù náà Contagion nínú ìwé mi lọ. Ó ti sún mọ́lé gan-an fún mi. Ó jẹ́ ọ̀kan lára àìsàn ààrùn tó burú jáì àkọ́kọ́ láyé mi. Mo fẹ́ rà fíìmù yìí lórí DVD gan-an, mo sì ti lọ wo ó ní AMẸRIKA ṣùgbọ́n kò sí àǹfààní kankan. Ẹnì kankan lè sọ fún mi bí? O ṣe kú	positive
báwo ni fíìmù kan tó ní irú àwọn nǹkan yìí ṣe lè di èyí tó ń pẹ́ tó sì ń dà bíi pé ó ń dààmú? ibo ni kánjúkánjú wà? ibo ni ìnira àti ìnira wà? bí mo ṣe ń ṣe àtúnṣe àti ìsọfúnni tó ń gbé mi lọ ti mú mi lọ́nà àrà ọ̀tọ̀, kò sì sí bí nǹkan yìí ṣe máa gùn tó wákàtí méjì ààbọ̀. ó sì mà dùn mọ́ o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o	positive
Ọ̀kàn-Àwọ̀ Ọ̀dọ́ jẹ́ fíìmù tó dára gan-an👏 . . . fíìmù yìí ni fíìmù Nollywood tó dára jù lọ tí mo ti rí títí dòní.	positive
Mo fẹ́ràn ìgbà kejì, mo sì ń retí ìgbà tí ìran kejì máa dé, mo sì fẹ́ràn gbogbo àwọn èèyàn tí mo bá ń bá wí.	positive
"ó jẹ́ fíìmù tó máa ń gbà mí ní wákàtí méjì tí kò yẹ kí n máa pè ní eré ìnàjú, bí kò ṣe ìgbà tí mo máa ń fúnni láṣẹ. bí mo bá ń ṣiyèméjì, ìdánilójú mi á túbọ̀ lágbára sí i... mo lè bá fíìmù náà kẹ́gbẹ́ nítorí pé ó ṣe kedere pé, mo ti rí ìfọ̀kànsin ọlọ́run kan rí... mo tún sọ pé ""bẹ́ẹ́ẹ́ ni"" sí ìpè ọlọ́run."	positive
