hau_Latn	sentiment
Wannan fim din yana da kyau sosai don ya sa ka yi murmushi bayan wata rana mai wuya.	positive
Kyakkyawan fim din tseren kasa. . . . abu daya da ban so game da wannan fim din shi ne yadda ba a yi hulɗa da yanayin Najeriya ko Indiya ba . . . . Kyakkyawan fim na soyayya.	positive
Labarin ya fara da jinkiri amma ka ci gaba da shi.	positive
Sarki na Yara maza ... wannan jerin suna da ban mamaki, daga labarin zuwa ga masu shirya, kayan ado da kuma motsin zuciyar da babban jarumi ya nuna. Na tabbata ina alfahari da zama dan Najeriya a wannan lokacin.	positive
Dole ne kowa ya gani ... Namaste wahala babban abu ne kuma a hukumance haɗuwa tsakanin al'adu. Wannan haɗin gwiwar Bollywood na Nollywood yana da duk abin da ya kamata a cikin fim mai kyau na soyayya, 'yan wasan Indiya sun kasance masu girma kuma sun buga rawar da suka dace.	positive
Na yi fatan za a iya watsa su fiye da sau ɗaya a mako, amma ban da haka, yana da kyau.	positive
A sikelin Nollywood zan ba wannan fim din lambar 9 saboda labarin sa na musamman da kuma kyakkyawan samar da shi wanda ya sa ya bambanta da sauran fina-finai na Najeriya	positive
Kyakkyawan labari ne, fim ne mai kyau, kuma labarin da ya faru.	positive
Wannan fim ɗin ya sa na yi baƙin ciki sosai kuma hakan ya sa na yi farin ciki sosai. Hakika, ya nuna yadda Allah ya kamata ya albarkaci marubucin da masu shirya fim ɗin da kuma dukan waɗanda suka yi hakan.	positive
Na ji daɗin dangantakar da ta kasance tsakanin Mr Tayo (Bimbo Manuel) da Ejiro (RMD),	positive
Abu daya da na fi so game da fim din shi ne yadda aka gaya wa labarin da kuma yadda 'yan wasan suka fassara shi. Marubutan, daraktoci da masu yin fim sun cancanci a yaba musu don wannan ƙoƙarin. 	positive
Mafi kyawun fim na Kirista!!! . . . Ina son wannan fim! An yi shi sosai - wasan kwaikwayon ya kasance mai ban mamaki kuma labarin ya kasance mai wartsakewa. Kudos ga dukan cast da crew! Tabbas dole ne a duba!. . . P.S. Kuna buƙatar masana'anta.	positive
Ina son fim din, 'yan wasan kwaikwayo, darektan da dai sauransu Kowa ya yi kyau sosai da basirarsa ta yin fim. . . . Duk wanda ya ga ba shi da kyau ba ya san fim mai kyau, kuma wataƙila ba zai iya yin hulɗa da al'adunmu ba.	positive
Abin ban mamaki ne, fim din yana da ban mamaki tare da kyawawan haruffa. Ina son ganin Bisola a fina-finai, tana da kyau.	positive
Kyakkyawan wasan kwaikwayo, kyakkyawan darasi, ba labari mai kyau ba.	positive
Abin sha'awa ne. . . . Na ji daɗin wannan fim ɗin sosai. Aikin da aka yi da kuma labarin da aka rubuta sun yi kyau sosai.	positive
Gabriel Afolayan yana cikin aji na kansa a matsayin mai wasan kwaikwayo; ya fahimci aikin koyaushe.	positive
Ba kamar yadda aka duba ba.	positive
Babban fim da babban aiki... babban labari na asali babban aiki da babban wasan kwaikwayo duk sun haɗu cikin ɗaya.	positive
Wani labari mai kyau, mai kyau wanda duk da haka yana gwagwarmaya don daidaita bukatun melodrama tare da ƙoƙarinsa na kama wani lokaci na tarihi.	positive
Na yi farin ciki sosai da na ga wannan fim ɗin a karo na farko. Ba na son na yi wauta amma ina ƙoƙarin yin nazarin abubuwan da ke cikin wannan duniyar. Ina fata in ga wani sashi na biyu da haruffa iri ɗaya da kuma wani labari mai duhu.	positive
Abin mamaki. da na saba da wuce wannan, amma gaskiya ne mai ban mamaki labarin. za ka iya ganin shi yana da low kasafin kudin, amma da shugabanci da kuma allo wasan kwaikwayo ne mai ban mamaki! da choreography na gwagwarmaya scene bai da kadan. daraja a duba shakka	positive
Labari mai ban sha'awa game da iyali da yaƙi. . . . Ina ba da shawarar wannan fim ɗin ba tare da yin wani abu ba.	positive
Wannan fim din ya sa na canja dangantakata zuwa mafi kyau. Babban fim. Fim din ya fara a hankali amma ya sa na kasance da sha'awar.	positive
Mutane ba za su taɓa koya ba idan ba su yi ƙoƙari ba... wannan fim din ya magance batutuwa da yawa ciki har da mafi girma daga cikinsu.	positive
Ta hanyar tattalin arzikin baje kolin, Eyimofe, (wanda aka fassara a matsayin This is My Desire) yana ba da hoto na yau da kullun na ƙarfin ɗan adam yayin da yake kafa Arie da Chuko a matsayin sabon ƙari mai kyau ga ƙwararrun masana fim.	positive
Wannan babban fim ne daga wani wanda muka san shi babban mai ba da labari.	positive
Kyakkyawan fim... babban labari. Ya cancanci kallo.	positive
Wannan ya kasance abin ban sha'awa a gani. . . . 'Yar'uwar Bayarwa' labari ne mai ban sha'awa, mai kyau, da aka faɗa da kyau. Ya kamata ka gani!	positive
Wannan wasan kwaikwayon ya kamata ya kasance 5 yanayi!!!!. . . . Wannan wasan kwaikwayon ya kasance mai ban sha'awa da kuma nishadi. Idan ainihin Khalifa yana da matsala da shi. Canja ko gajarta sunan, misali. Babban cast!!! Babban rubutu!!! Babban gani. :)	positive
Babban fim. . . ba zan iya fahimtar irin ƙarancin bita na irin wannan fim mai ban mamaki ba. Wannan jerin sun kasance masu kyau sosai da na yi amfani da dukan jerin a matsayin dalibi na likita. Babban aiki da yatsan hannu zuwa ga mai samarwa da kuma masu shirya.	positive
Wannan fim din ya kasance mai girma da shekaru masu haske a gaba da mafi yawan fina-finai na Afirka.	positive
Taron kiɗa mai ban sha'awa da ke nuna wa mutane da yawa da ke yin waƙoƙi da ke nuna waƙoƙi da ke nuna waƙoƙi da ke nuna waƙoƙi da ke nuna waƙoƙi da ke nuna waƙoƙi da ke nuna waƙoƙi da ke nuna waƙoƙi da ke nuna waƙoƙi da ke nuna waƙoƙi da ke nuna waƙoƙi da ke nuna waƙoƙi da ke nuna waƙoƙi	positive
Wannan dawowar sarki yana da ɗaukaka.	positive
Babban aiki !!	positive
Labari mai kyau, na sirri da aka gaya tare da kyakkyawan aiki	positive
Har yanzu ɗayan mafi kyawun finafinan Najeriya na 2017. Isoken babban fim ne wanda ke nuna al'adun yankin ƙasar. Tsarin, fim, launuka da sutura suna ba da labarin al'adun sosai. Fim ɗin yana da kyakkyawar jarin dariya da babban aiki ..	positive
Na ji daɗin ganin yadda suka inganta yaren Igbo!	positive
"Saurin kamara da aka ɗauka a hannu, hotuna masu cike da motsin rai, abubuwan da aka rubuta da kuma rubutun da ya ba da labarin da aka saba da shi ɗanɗano na Afirka ya sa ""Òlòtūré"" ya zama abin ban tsoro wanda ba za ka iya jimrewa kawai ba amma za ka yi mamakinsa kuma ka rungume shi."	positive
Dole ne ku kalli wannan !!! . . . Dole ne ku kalli !!! Ina son halin labarin	positive
fim mai ban mamaki	positive
Ina son ka - Ina da jariri ...	positive
Babban aikin Kemi Adetiba, labarin ya yi kyau, fim din ya yi kyau, dukkan 'yan wasan sun yi babban aiki.	positive
Wani fim mai girma na wani labari da aka manta da shi a tarihi; ba don raunana zuciya ba.	positive
Babban fim - mai nishaɗi da ilimi	positive
wani mummunan wasan kwaikwayo tare da ban dariya mai ban mamaki, irin na	positive
Wow, wannan labarin gaskiya ne! wow! ban mamaki. wow wannan labarin! wow! da yawa da yawa da yawa da yawa da yawa da suka faru da baƙar fata a duk faɗin Afirka, da kuma a cikin al'ummomi. Ina farin ciki sosai cewa Brotha ya raba labarinsa kuma ya sami damar rubutu, jagora, tauraro. kuma Damson wow, wasan kwaikwayonsa yana da ban mamaki koyaushe.	positive
Abin ban sha'awa da ban dariya yadda suka nuna al'adu biyu. Na yi farin ciki a duk tsawon!	positive
Kyakkyawan bayani. . . . fim ɗin ya nuna yadda wani malamin jami'a ya yi wa wata daliba fyade ta jima'i.	positive
Abin ban mamaki... ina son nunawa ko da a cikin kiɗa al'ada mai tsabta.	positive
Kyakkyawan jerin daga Najeriya... ina son wannan jerin. babban wuri. Kyakkyawan wasan kwaikwayo. Kowa yana ba da wasan su na farko. Barkwanci sun kasance na halitta kuma suna da alaƙa sosai. Yana da ilimi ma.	positive
Yana da kyau sosai, harshe shi ne Street, da kuma wasan kwaikwayo, da kuma gyara shi ne a kan lokaci.	positive
Wani sabon annoba wanda zai iya sake faruwa! . . . . Wannan fim ne mai ban mamaki kuma mai gaskiya game da abin da ya faru da gaske. Ya fi fim ɗin Contagion a littafina. Ya yi kusa da gida a gare ni. Yana daya daga cikin manyan annoba na farko a rayuwata. Ina son in sayi wannan fim ɗin a kan DVD kuma na nemi a Amurka amma ba tare da wani amfani ba. Shin wani zai iya gaya mani yadda?	positive
Ta yaya fim da ke da wannan batun ya zama mai jinkiri da ban dariya? Ina gaggawa? Ina tashin hankali da tashin hankali? Gyara da saurin sa ni hauka kuma babu wata hanyar da wannan abu ya zama kusan awa biyu da rabi. Kuma wannan abin kunya ne da gaske domin yana nuna babbar matsala mai mahimmanci, Ina fata ya yi haka ba tare da sa masu sauraro barci ba.	positive
Lionheart fim ne mai kyau👏 . . . wannan fim ne mafi kyawun fim din Nollywood da na gani har zuwa yanzu. Kowane wuri ya kasance mai kyau, mai kyau kuma tare da ɗan wasa da darasi na ɗabi'a. Ina son cewa an wakilci Najeriya sosai.	positive
Na yi matukar son kakar wasa ta biyu kuma ina matukar jira na yi farin ciki da kakar wasa ta biyu.	positive
"Wannan fim ne na tsawon sa'o'i biyu wanda ya fi dacewa in kira shi ba nishaɗi ba amma lokacin ƙarfafawa. idan ina da shakku, imani na ya inganta... na sami damar haɗuwa da fim din saboda a bayyane yake, na taɓa jin taɓawa daga Allah a baya... ... na sake cewa ""eh"" ga kiran Allah."	positive
Ya kwatanta da kyau irin zalunci da dalibai mata ke fuskanta a jami'o'in Najeriya da kuma yammacin Afirka gaba daya	positive
Yana da ban sha'awa sosai amma ba abin ban sha'awa ba ne. . . . Gaba ɗaya, Fifty na da kyau, mai kyau da kuma rai, ana sa ran zai kasance mai ban sha'awa a ƙarshen amma ƙanƙara a cikin pimples ba ta nuna yawa ba amma na yi farin ciki na tuna da wasu layi da kuma hotuna a ƙarshen.	positive
Kunle Afo mafi tasiri movie zuwa yanzu ... . . . fim din magance wani batu da yake da matukar muhimmanci a Najeriya ilimi tsarin. Good labarin line, ban sha'awa plot, fantastic acting. Wannan fim ne daya daga cikin mafi kyau za ka taba gani a kan batutuwa da damuwa game da jinsi bisa tashin hankali a Afirka ta manyan makarantu. Just ji dadin shi da kuma tabbatar da your m review!	positive
Wani fim mai ban mamaki... na kalli Lara da Beat a Netflix. Wannan fim din yana da ban mamaki. Hoton fim mai kyau, a kan wasan kwaikwayo, babban labari, kiɗa mai kyau da nishaɗi mai kyau wanda dukan iyalin za su iya ji dadin.	positive
Yana da ban sha'awa, yana da kyau sosai, al'adu, harshe da kuma kiɗa suna da kyau.	positive
Fim ɗin ya ba mu labarin shekarun 1980, har zuwa yadda ake shirya bukukuwa, da kuma yadda ake yin magana game da yin farin ciki, da tufafi, da kuma yadda ake amfani da kayan ado da kuma adire.	positive
Wannan fim ne mai kyau, cike da haruffa masu kyau da ke aiki a cikin tsarin zane wanda ba ya rushewa. An kawo fim din zuwa rayuwa tare da kyan gani mai ban mamaki da kuma zane-zane mai kyau. Labarin, ko da yake ba abin mamaki ba ne, yana da kyau sosai don kiyaye ku a wurin zama yayin da yake ba da abu ko biyu game da batun.	positive
"Na kalli ""Fifty Series"" kuma na zo Castle & Castle saboda Tola fuska ya saba. Ina son wannan jerin kuma ina son kakar 2 mai zuwa!"	positive
Wani fim mai ban mamaki! . . . Wannan fim ne mai ban sha'awa da ke cike da baƙin ciki na iyali da ke da kyakkyawan rubutun da kuma wasan kwaikwayo na taurari.	positive
Kyakkyawan ban dariya da ban dariya! ... wani kyakkyawan wasan kwaikwayo na zinariya tare da babban labarin. Daga 'yan'uwa mata zuwa ga villains, wannan dole ne a gani! ba tare da ambaton abubuwan da ba zato ba tsammani da kuma manyan effects musamman! sosai shawarar.	positive
Sun yi hadari amma an yi aikin sosai daga samarwa zuwa yin wasan kwaikwayo.	positive
Noma bazai zama labarin da aka fi yi ba, amma tare da wasan kwaikwayon Damson Idris, duk da haka, har yanzu labarin ne da ya cancanci a gaya.	positive
KYAUTA MAI FARKARYA!!! . . . . . Duk abin da ke cikin wannan fim din ya kasance a kan POINT! Labarin labarin, haruffa da kuma jagora .. zuwa riguna. Na ji daɗin wannan sosai !! Popcorn na ya fita a cikin minti! Love love love love! Don Allah yi karin fina-finai!!!	positive
Kyakkyawan fim din tseren kasa. . . . abu daya da ban so game da wannan fim din shi ne yadda ba a yi hulɗa da yanayin Najeriya ko Indiya ba . . . . Kyakkyawan fim na soyayya.	positive
Ina son kallon wannan fim din da ke da kyakkyawan labari, da kuma shirya shirye-shiryensa da kuma Dakore da kuma 'yan wasan kwaikwayon da suka yi aiki sosai. Al'adunmu da al'adunmu sun kasance cikakke.	positive
Wani fim mai ban mamaki!!! Wow wow wow. Nollywood ya tashi.	positive
Kyakkyawan labari mai kyau wanda yake bukatar kulawa sosai. Amma gaba ɗaya, fim ɗin ya yi kyau.	positive
Wani fim daga Nollywood mai suna Lionheart ba kawai an rubuta shi ba ne domin shi. Ya nuna abubuwa da yawa da ke faruwa a Najeriya da zai bukaci mutum mai zurfi da kuma tunani mai budewa ya duba fim ɗin.	positive
Wannan shi ne mafi kyau samarwa daga Nollywood! shi ya fi kama da wani Afirka Amirka fim. da yin fim ne top notch da kuma gano shi ne babban actresses farko fim, yatsan hannu sama.	positive
Wani abu kamar wasan kwaikwayo na Shakespeare, cike da ban dariya, da kuma harsashi mai ban sha'awa da kuma ba da mummunan ra'ayi game da yadda ainihi ya kasance ta hanyar rayuwa a birni da kuma rikici na al'adun baƙi.	positive
'Yan Nijeriya a Brooklyn . . . wannan fim ne mai ban mamaki, mai ban sha'awa, mai kyau, da kuma ban sha'awa.	positive
Temi Otedola ya yi aiki mai ban mamaki!	positive
Na gode da cikakken misali na yadda ya yi aiki a rayuwarmu: Wannan fim ne na ciki-wrecking, tunatar da mu yadda ya yi aiki ta hanyar m, tuba mutane da aka kira su kawai su yi masa biyayya. Ya aikata sauran. Ya ne mai aminci don kammala abin da ya fara. Abin da Allah girmama fim, nuna Trine a nagarta da ɗaukaka da kuma iko. Na gode.	positive
Stroyline ya kasance mai kyau... juyin halitta ya kasance komai. cike da tashin hankali. mai ban sha'awa da ban sha'awa. Ya taɓa muhimmancin sadarwa a cikin dangantaka. Zan duba shi akai-akai.	positive
Ina son wannan fim din, na kalli shi sau da yawa, ina fata akwai wani a cikin aikin	positive
Wani zamani na Najeriya classic. . . . . Nollywood da gaske yana da wani siyasa / addini / kabilanci gem a nan ga waɗanda suke neman fadada su ra'ayoyin dalilin da ya sa manyan illar duniya & a wannan yanayin wani karamin al'umma a Najeriya - r haka pervasive a yau .. . . rai zo ga wannan jiki gaskiya ga abubuwan & wannan fim ya sadar da ton daga gare su❤	positive
Abin farin ciki ne a gani musamman idan ka fahimci harshen Igbo... amma a gaba ɗaya fim ne mai kyau da ban sha'awa..	positive
Wannan fim din yana kama da wani abu mai banƙyama da ba a samu ba, da kuma soyayya mai zurfi.	positive
Genevieve Nnaji ta sake tabbatar da ita a lokacin da ta kasance mafi kyawun actress Nollywood na dukan lokaci tare da ta directing farko.	positive
Wani fim da ya kama begen al'umma na samun mafi kyawun fim. ... Mutum zai iya fatan cewa sauran masu shirya fim na Najeriya za su gina a kan wannan ƙasa don kyakkyawar makomar fim na Najeriya.	positive
Wannan ya sa na ji daɗi cewa ni 'yar Najeriya ce. Bayan an yi la'akari da labarin, ayyukan kowane mutum sun kasance masu ban mamaki kuma sun kama hankalina.	positive
Ina neman waƙar sauti & bita. . . . Akwai waƙar sauti a ƙarshen fim. A bango. Ba ta ƙunshi kalmomi, ta fi waƙa. Ina ƙoƙarin nemo sunan ta ... . . ban da haka, babban fim, da jinkirin gaske. Yin aiki na gaskiya ne. Babu motsin rai ko wani abu makamancin haka. Tattaunawa, kalmomin da aka zaɓa, abubuwan da suka faru, sunadarai. Yana da alama na halitta kamar kuna kallon yanayi na gaske. Akwai lokutan shiru da yawa da irin wannan abu. Don haka ko kuna son irin wannan fim, ko ba ku so.	positive
Na fi son fim din, ya zama na fi so, kuma ina fatan Najeriya za ta kawo karin fina-finai a allon... kuma shawarar da nake ba mu mu 'yan Najeriya ita ce mu tallafa wa wannan fim din don karfafa su su kawo da kuma samar da fina-finai mafi kyau na zabi don mu gani.	positive
Sarki na Yara na Kemi Adetiba na ban mamaki. Daga zabin wasan kwaikwayo zuwa layin labarin da aka aiwatar da kyau, wannan fim ɗin ba shi da kyau. Jin daɗin, juyin juya halin, ban dariya, rashin tabbas ba su da iyaka.	positive
Cikakken. . . . wani ya taimake ni in sami kuskure a wannan fim din domin na kalli shi sau hudu kuma har yanzu ba zan iya samun daya ba. Duk abin da ke cikin fim din ya kasance cikakke. Fim din asali ne.	positive
Wannan fim din gaskiya ne kuma yana da ban mamaki da kuma motsawa.	positive
Wani labari mai ban mamaki na Najeriya ... irin wannan labari mai ban mamaki na Najeriya don kallo ba tare da mummunan kiɗa ba a cikin fim. Duk da haka. Ban so cewa Netflix kawai ya kawo kakar wasa ta 1, ya ba ni mamaki kuma ba za a sami kakar wasa ta 2 ba.	positive
Idan abinci ne zan ce bakin ruwa. . . . Fim ɗin da aka ambata yana da mahimmanci, ban ga inda zai taɓa rasa dacewa ba. An zaɓi 'yan wasan kwaikwayo da kyau kuma sun nuna irin wannan ƙwarewar, wurin ya kasance mai ban mamaki ba sabon abu ba idan jami'o'i masu kyau a Senegal, fasaha da sana'o'in shugabannin Afirka sun zana asalin Afirka. . . . Sakon da wannan fim ɗin ya kawo, yadda aka gaya shi yana da mahimmanci, mai hankali da fasaha. Tashin hankali yana kan wani matakin, cakuda jin da ya haifar mana masu kallo wani abu ne ...	positive
Kyakkyawan fim ne. . . wannan babban fim ne. Labari mai sauki ne wanda ya ba da haske game da abin da ya faru a baya ga yara biyu (tare da abubuwan da ba a sani ba da yawa)... sannan kuma juyawa da juyawa da ke kewaye da haɗuwa da su a matsayin manya maza ... .	positive
Ina son fim din da nake son 'yan Najeriya, kuma ina son labarin da nake son yi.	positive
Kyakkyawan, kyakkyawa, bakin ciki da kuma dole.	positive
My Village People sun ba da kyawawan sakamako na musamman, kuma ba su da yawa. Daya daga cikin abubuwan da na fi so shine ruwan sama.	positive
Tarihi, Mai Ban Sha'awa, Mai Koyarwa da Kuma Mai Ban Mamaki	positive
Wannan fim ne na Najeriya da na fi so, kuma na farko da na fara yi shi ne mai ban sha'awa.	positive
Na yi farin ciki sosai da na ga wani fim da ke nuna dangantaka tsakanin 'yan'uwa mata biyu da suka yi dangantaka sosai amma suka rabu da juna saboda soyayya da ra'ayoyin siyasa.	positive
Wani fim ne mai ban sha'awa amma mai ban tsoro wanda aka kera da kyau. . Yana da babban fim da aka yi da kyau kuma aka tsara shi da kyau. An tsara shi da kyau yayin da yake da digiri na ilimi amma yana da cikakken kwarewa mai ban sha'awa .. . Binciken Tsere , da Al'adun Gang , a Ingila yana da wuya a yi imani da wasu daga cikin waɗannan abubuwan Sanin cewa an dogara ne akan labarin gaskiya yana sa ya zama da wuya a haɗiye. Wataƙila wasu wurare suna don lasisin wasan kwaikwayo amma har yanzu yana fitowa daga wasu inda na gaske .. . Akwai abubuwa da yawa a cikin fim inda zan tambayi kawai me yasa? me yasa za ku yi hakan!	positive
Ya kasance mai kyau, mai kyau movie game da Love, Faith, Family da kuma gwaji na duniya.......ya kasance a bit cheesy, amma na ji dadin shi.	positive
